,,keep,#,Company,Symbol,Weight,Price,Chg,% Chg,Permno,,,,,,,
,,X,1,Apple Inc.,AAPL,6.83758,175.5,0.42,-0.24%,14593,AAPL,,,,,,
,,X,2,Microsoft Corporation,MSFT,5.925804,318.64,3.66,-1.16%,10107,MSFT,,,,,,
,,X,3,Amazon.com Inc.,AMZN,3.61459,"3,306.25",-0.99,(-0.03%),84788,AMZN,,,,,,
,,X,4,Tesla Inc,TSLA,2.169577,"1,108.24",43.84,-4.12%,93436,TSLA,,,,,,
,,,5,Alphabet Inc. Class A,GOOGL,2.106545,"2,834.50",39.78,-1.42%,90319,GOOGL,,,,,,
,,,6,Meta Platforms Inc. Class A,FB,1.982544,333.63,-0.74,(-0.22%),51772,87208,13407,81059,FB,,,
,,,7,Alphabet Inc. Class C,GOOG,1.961877,"2,836.94",36.59,-1.31%,90319,14542,GOOG,,,,,
,,,8,NVIDIA Corporation,NVDA,1.742619,280.36,2.19,-0.79%,86580,NVDA,,,,,,
,,,9,Berkshire Hathaway Inc. Class B,BRK.B,1.467489,320.7,0.9,-0.28%,,BRK.B,,,,,,
,,,10,JPMorgan Chase & Co.,JPM,1.24024,168.65,1.16,-0.69%,48071,47896,JPM,,,,,
,,X,11,Johnson & Johnson,JNJ,1.129692,169.8,-1.46,(-0.85%),22111,JNJ,,,,,,
,,X,12,UnitedHealth Group Incorporated,UNH,1.10687,475.48,6.48,-1.38%,92655,UNH,,,,,,
,,,13,Home Depot Inc.,HD,1.022524,390.28,3.61,-0.93%,57859,66181,20896,HD,,,,
,,,14,Procter & Gamble Company,PG,0.962413,159.01,0.35,-0.22%,18163,PG,,,,,,
,,,15,Visa Inc. Class A,V,0.900832,215.77,1.39,-0.65%,46842,92611,88614,23675,54332,75817,V,
,,,16,Bank of America Corp,BAC,0.887966,48.9,-0.31,(-0.63%),59408,54893,58827,BAC,,,,
,,,17,Mastercard Incorporated Class A,MA,0.797365,366.44,0.15,-0.04%,13100,91233,MA,,,,,
,,,18,Pfizer Inc.,PFE,0.797327,56.6,-0.09,(-0.16%),21936,PFE,,,,,,
,,,19,Exxon Mobil Corporation,XOM,0.756906,71.14,-0.21,(-0.29%),11850,XOM,,,,,,
,,,20,Walt Disney Company,DIS,0.718926,157.85,-0.04,(-0.03%),26403,DIS,,,,,,
,,,21,Cisco Systems Inc.,CSCO,0.659157,62.18,-0.2,(-0.31%),25559,76076,CSCO,,,,,
,,,22,Broadcom Inc.,AVGO,0.641596,627,4.95,-0.80%,88618,93002,AVGO,,,,,
,,,23,Adobe Inc.,ADBE,0.630871,532.7,2.81,-0.53%,75510,10859,ADBE,,,,,
,,,24,Chevron Corporation,CVX,0.61871,127.65,-0.32,(-0.25%),23210,14541,CVX,,,,,
,,,25,Thermo Fisher Scientific Inc.,TMO,0.612687,625.2,4.7,-0.76%,62092,TMO,,,,,,
,,,26,AbbVie Inc.,ABBV,0.606769,137.6,0.63,-0.46%,13721,ABBV,,,,,,
,,,27,PepsiCo Inc.,PEP,0.603154,173.9,-0.19,(-0.11%),13856,PEP,,,,,,
,,,28,Abbott Laboratories,ABT,0.60117,134,-1.7,(-1.25%),20482,ABT,,,,,,
,,,29,Netflix Inc.,NFLX,0.600316,536.99,-3.85,(-0.71%),89393,NFLX,,,,,,
,,,30,Accenture Plc Class A,ACN,0.594425,377.19,2.08,-0.55%,89071,69198,18825,75469,ACN,,,
,,X,31,Coca-Cola Company,KO,0.588856,60.62,0.17,-0.28%,11308,KO,,,,,,
